image,name,stage,side
ggc1e08cbc,monarch,adult,ventral
gh2d5c8c79,monarch,adult,dorsal
gi31f90cd5,monarch,adult,dorsal
gj4a62acdc,viceroy,adult,dorsal
gm025be3d6,monarch,adult,ventral
gm894b4360,monarch,adult,ventral
gn4977d4a7,monarch,adult,dorsal
gna250129d,viceroy,adult,dorsal
gre84c9598,viceroy,adult,dorsal
gvef7c2c0f,monarch,adult,dorsal
hgd507d2e2,viceroy,adult,dorsal
hib23ee1c5,viceroy,adult,ventral
hm9c81f7a4,monarch,adult,both
hmae607f48,monarch,adult,ventral
hmafb47c40,monarch,adult,ventral
hnf80b11f9,monarch,adult,ventral
hoc6d3cdbb,viceroy,adult,ventral
hp7c05fb8e,monarch,adult,ventral
hs0bd09abf,monarch,adult,ventral
ht88467b31,monarch,adult,both
hu4f9f2110,monarch,adult,both
hz9d604441,monarch,adult,ventral
hza11eb4e4,monarch,adult,ventral
ig68ce7aca,viceroy,adult,dorsal
ij7f88d0bf,monarch,adult,ventral
ijb0a15a59,monarch,adult,ventral
in3afcdf19,viceroy,adult,dorsal
inbaf70f38,monarch,adult,ventral
ip4e1f6910,viceroy,adult,dorsal
ira9517e91,viceroy,adult,ventral
is34088af4,monarch,adult,dorsal
is7af40c1f,viceroy,adult,dorsal
is91bec84d,viceroy,adult,both
itd1de10ca,viceroy,adult,dorsal
iu29fa6c6e,viceroy,adult,dorsal
iu5f3e7451,monarch,adult,dorsal
jgc91b0e30,monarch,adult,both
ji16a6b79d,viceroy,adult,dorsal
jic82a7f22,monarch,adult,both
jid17ab2e4,monarch,adult,dorsal
jk2fd129a8,monarch,adult,ventral
jl8a48d5ae,monarch,adult,ventral
jn744f6d8f,monarch,adult,dorsal
jqb309c72b,monarch,adult,dorsal
js61e7023d,monarch,adult,dorsal
jt7dfc1e25,monarch,adult,both
ju0e35d1ad,monarch,adult,dorsal
jv0d3dcbea,monarch,adult,dorsal
jw2d46aff2,viceroy,adult,dorsal
kge90675d4,monarch,adult,dorsal
ki60b8e7fb,monarch,adult,ventral
kic91ac8cd,monarch,adult,ventral
kndcee81b8,viceroy,adult,both
kqb562bd7f,viceroy,adult,both
kr318b9ce7,viceroy,adult,dorsal
ksbf61ca28,viceroy,adult,dorsal
kw48a5d420,monarch,adult,both
kw53512744,monarch,adult,dorsal
kwf169fb87,viceroy,adult,dorsal
kye4fdcd1c,monarch,adult,ventral
kzae1f0308,viceroy,adult,ventral
li47ff6742,monarch,adult,dorsal
lid73caa0a,monarch,adult,both
lkc0fe2ea4,monarch,adult,dorsal
ll6146dc97,monarch,adult,ventral
ln5d48bb2f,viceroy,adult,both
ln8ff09d2c,viceroy,adult,ventral
lq3c3e1daa,viceroy,adult,both
lr5ceaefb4,viceroy,adult,both
lr7ccf4004,monarch,adult,ventral
lr8cc21eb8,monarch,adult,dorsal
lt2021e2e1,monarch,adult,ventral
lu78149a46,monarch,adult,ventral
lu8aa3000f,monarch,adult,ventral
lwb60932fd,monarch,adult,both
mge0fd835b,viceroy,adult,ventral
mh1f0235df,monarch,adult,dorsal
mkf2fa469d,monarch,adult,ventral
mn36cc5dfe,monarch,adult,dorsal
mo6e005539,monarch,adult,ventral
mp2c96cd3e,viceroy,adult,ventral
mucb5365b3,viceroy,adult,dorsal
mx4fe59321,monarch,adult,ventral
my6a3bb79b,viceroy,adult,ventral
mz715f1a97,monarch,adult,both
ng4c2872d8,viceroy,adult,dorsal
nja37392d1,monarch,adult,dorsal
njf269a618,monarch,adult,ventral
nk0c63c5de,viceroy,adult,ventral
nla16e28a5,monarch,adult,both
nme8e97788,viceroy,adult,ventral
nn58d8f179,monarch,adult,dorsal
np51a6af8f,viceroy,adult,dorsal
nr5a696df2,viceroy,adult,both
nr8fa6cf05,viceroy,adult,dorsal
nsc13c6286,viceroy,adult,dorsal
nueecc1315,monarch,adult,both
oh89184905,viceroy,adult,dorsal
ohb708f3fb,viceroy,adult,ventral
ohfd3f81d1,viceroy,adult,ventral
on66ef7b5d,monarch,adult,dorsal
oof48a26c9,monarch,adult,ventral
osd3692120,viceroy,adult,ventral
ot818857de,viceroy,adult,dorsal
otc7d0e42a,monarch,adult,dorsal
ovc87f3811,monarch,adult,dorsal
owdbb44827,viceroy,adult,dorsal
ox9abe5d97,monarch,adult,ventral
oy65ec97cc,monarch,adult,ventral
pdea1ad95b,viceroy,adult,ventral
pha3d6095b,viceroy,adult,dorsal
pjdec544a6,monarch,adult,ventral
pm54c7c29d,viceroy,adult,dorsal
pna5981196,monarch,adult,dorsal
po3f5715d3,viceroy,adult,dorsal
pqbf7a5c93,monarch,adult,ventral
pu1ef1f098,viceroy,adult,both
pu94e04f89,monarch,adult,dorsal
pxe54c46e2,monarch,adult,dorsal
py41083d32,viceroy,adult,dorsal
qf2b83d254,viceroy,adult,dorsal
qhf691b49d,viceroy,adult,ventral
qi29c201af,viceroy,adult,both
qic55933b8,viceroy,adult,both
qifd3078ba,viceroy,adult,ventral
qn8565e8c6,viceroy,adult,ventral
qo3c9cbb42,monarch,adult,dorsal
qob345bb57,monarch,adult,dorsal
qpcb12f4ed,viceroy,adult,dorsal
qpf164d6b2,monarch,adult,dorsal
qq63e8f0e1,viceroy,adult,dorsal
qr41eedb7a,monarch,adult,dorsal
qu3890ac6c,monarch,adult,ventral
qv957c344d,monarch,adult,dorsal
qw7799c8ca,viceroy,adult,dorsal
rl385c771a,viceroy,adult,dorsal
robff91861,monarch,adult,dorsal
rq56ba8b85,viceroy,adult,dorsal
rt4e4536fb,viceroy,adult,ventral
rw186b8694,monarch,adult,dorsal
ryda2875e2,viceroy,adult,both
rz342ea10c,viceroy,adult,dorsal
rz9bdc3573,monarch,adult,ventral
sgc0412f23,monarch,adult,ventral
si238b78f6,monarch,adult,dorsal
si6b703794,viceroy,adult,dorsal
sm2a4ab05e,viceroy,adult,ventral
smd34d1089,monarch,adult,ventral
snfef6f852,monarch,adult,ventral
so2355d0bd,viceroy,adult,both
so3cfd4e4f,monarch,adult,dorsal
soaab2d522,viceroy,adult,dorsal
sqba6c1d10,viceroy,adult,dorsal
sqcc6b0150,viceroy,adult,dorsal
sr950b47aa,monarch,adult,ventral
sub839d229,monarch,adult,ventral
sz5bf0ff88,monarch,adult,ventral
tgf81f766e,viceroy,adult,ventral
tia93d1e90,viceroy,adult,both
tkd59883c9,monarch,adult,dorsal
tl53d1ab0c,viceroy,adult,ventral
tp86b45bf0,viceroy,adult,dorsal
tt1e0ef879,monarch,adult,ventral
tveec84d84,monarch,adult,dorsal
tx0cdd0bfd,monarch,adult,dorsal
txea4604bd,viceroy,adult,dorsal
tyab14acce,monarch,adult,both
tye204e696,viceroy,adult,dorsal
tzc58a7182,viceroy,adult,dorsal
uh8bfc48ec,viceroy,adult,both
uh9977a487,monarch,adult,ventral
uid1bdd329,viceroy,adult,ventral
uk895b879e,viceroy,adult,dorsal
uk8d7bd5e2,viceroy,adult,both
um2287e3e5,monarch,adult,dorsal
uod3c38403,monarch,adult,both
up2cf0026f,monarch,adult,ventral
up44a6da3d,monarch,adult,ventral
uqdf921104,viceroy,adult,dorsal
ur0da068fd,viceroy,adult,dorsal
uu1edd873e,monarch,adult,ventral
uy631e9681,viceroy,adult,dorsal
uz4b7e7a2d,viceroy,adult,ventral
vc88abddcc,viceroy,adult,dorsal
vh8f0ea302,monarch,adult,both
vi699ab86b,viceroy,adult,both
vi9ec9964a,viceroy,adult,dorsal
vj4915264c,viceroy,adult,dorsal
vje189be11,viceroy,adult,ventral
vn6f4eb2fc,monarch,adult,dorsal
vofe46ebbc,viceroy,adult,ventral
vp7d4ac246,viceroy,adult,ventral
vq82fdf397,viceroy,adult,dorsal
vw6f42b768,monarch,adult,dorsal
vx1262e49e,monarch,adult,dorsal
vx9074f397,viceroy,adult,both
vy3f1a9aab,monarch,adult,both
vz8bd4bbdf,viceroy,adult,dorsal
wi4800dd1a,viceroy,adult,dorsal
wkfc1422d3,monarch,adult,both
wlcfe6def4,viceroy,adult,dorsal
wme34443d3,monarch,adult,dorsal
wn5e3e06ad,viceroy,adult,dorsal
wna5a891ba,monarch,adult,ventral
wo3d4eac6d,monarch,adult,ventral
woe350a201,monarch,adult,ventral
wr138bb870,monarch,adult,ventral
